fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
3,TEST,0.52,0.6,0.75,0.3076923076923077,0.4803844614152614,0.49999999999999994,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.6565656565656566,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
4,TEST,0.64,0.6666666666666666,0.75,0.5384615384615384,0.6354889093022426,0.6794871794871795,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.65,0.6666666666666666,0.7,0.6,0.648074069840786,0.6,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
5,TEST,0.76,0.75,0.8181818181818182,0.7142857142857143,0.7644707871564383,0.8441558441558442,8,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.69,0.7024408848207474,0.7844444444444443,0.610909090909091,0.6879096498596539,0.6412121212121212,8,0.001,8
MEAN,TEST,0.584,0.5993333333333333,0.6636363636363637,0.5120879120879122,0.575920628190395,0.623959373959374,8,0.001,8
1,VALIDATION,0.7,0.7272727272727273,0.8888888888888888,0.5454545454545454,0.6963106238227913,0.797979797979798,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,0.5705128205128205,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,0.5757575757575757,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.36363636363636365,0.3333333333333333,0.5384615384615384,0.4236592728681617,0.5192307692307692,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.6363636363636364,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.52,0.625,0.8333333333333334,0.23076923076923078,0.4385290096535146,0.4807692307692307,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.55,0.6086956521739131,0.7777777777777778,0.36363636363636365,0.5318160234783105,0.5252525252525253,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.6,0.6153846153846154,0.6666666666666666,0.5384615384615384,0.599144689515278,0.673076923076923,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.6666666666666666,0.6,0.8,0.6928203230275509,0.69,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.8,0.7619047619047619,0.7272727272727273,0.8571428571428571,0.7895420339517227,0.8701298701298701,8,0.001,1e-05,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.64,0.662266139657444,0.7644444444444444,0.5418181818181818,0.6312578928976823,0.6450707070707071,8,0.001,8
MEAN,TEST,0.592,0.5898518148518148,0.6287878787878787,0.5560439560439561,0.570003939100791,0.6227439227439227,8,0.001,8
1,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,0.7373737373737373,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
1,TEST,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,0.5576923076923077,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
2,VALIDATION,0.55,0.5714285714285714,0.6666666666666666,0.45454545454545453,0.5504818825631803,0.5454545454545454,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
2,TEST,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,0.6282051282051282,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.5454545454545455,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
3,TEST,0.44,0.46153846153846156,0.5,0.38461538461538464,0.4385290096535146,0.41025641025641024,4,0.001,0,0,8,resize_small_hu_m600_1500_separadas
